site,lat,lon,orig_lat,orig_lon,offset_km
CA-Mtk,72.653775,-77.808765,72.669502,-77.998100,6.51
CA-TP3,42.706502,-80.428360,42.706799,-80.348297,6.54
CA-TP4,42.706502,-80.428360,42.710201,-80.357399,5.81
CA-TPA,42.706502,-80.428360,42.694698,-80.348701,6.64
DE-Hte,54.235499,12.280702,54.213055,12.179944,7.01
IT-Noe,40.597539,8.274399,40.606129,8.151460,10.42
KR-WdE,34.411247,126.679245,34.359558,126.677788,5.75
NO-And,69.138837,15.847176,69.142776,16.022221,6.94
SE-St1,68.295252,18.977636,68.354103,19.050301,7.19
SE-Sto,68.295252,18.977636,68.356003,19.045210,7.30
US-A03,70.474514,-149.680851,70.495300,-149.882294,7.83
US-A10,71.247800,-156.752768,71.324203,-156.614899,9.82
US-Cms,71.247800,-156.752768,71.320198,-156.622299,9.30
US-KS3,28.646748,-80.763968,28.708401,-80.742699,7.16
US-LA3,29.560632,-89.895833,29.493601,-89.915298,7.69
US-NGB,71.247800,-156.752768,71.279999,-156.609207,6.25
US-xBA,71.247800,-156.752768,71.282402,-156.619400,6.12
